,station_id,station_name,geometry,tract_name,rides,monthly_housing_cost
73,41070,Kedzie (Green Line),POINT (-87.706155 41.884321),8371,447665,940
74,40250,Kedzie-Homan (Blue Line),POINT (-87.70604 41.874341),2713,629652,834
75,41290,Kimball (Brown Line),POINT (-87.713065 41.967901),1407.01,1256411,1275
76,41140,King Drive (Green Line),POINT (-87.61554599999999 41.78013),4207,176519,1036
77,40600,Kostner (Pink Line),POINT (-87.73325800000001 41.853751),2925,157504,983
78,40700,Laramie (Green Line),POINT (-87.754986 41.887163),2518,372667,966
79,41340,LaSalle (Blue Line),POINT (-87.631722 41.875568),8391,927654,1856
80,40160,"LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)",POINT (-87.631739 41.8768),8391,812120,1856
81,40770,Lawrence (Red Line),POINT (-87.65849300000001 41.969139),312,1149858,786
82,41050,Linden (Purple Line),POINT (-87.69073 42.073153),8013,311242,2292
83,41020,Logan Square (Blue Line),POINT (-87.708541 41.929728),2206.02,2261071,1145
84,41300,Loyola (Red Line),POINT (-87.661061 42.001073),105.03,1701808,772
85,40270,Main (Purple Line),POINT (-87.67953799999999 42.033456),8100,385064,1549
86,40460,Merchandise Mart (Brown & Purple Lines),POINT (-87.63392399999999 41.888969),817,2249029,1961
88,41330,Montrose (Blue Line),POINT (-87.743574 41.961539),1601,793024,1330
89,41500,Montrose (Brown Line),POINT (-87.67504700000001 41.961756),8308,872153,1214
90,41510,Morgan (Green & Pink Lines),POINT (-87.652193 41.885586),8330,908872,2214
91,40100,Morse (Red Line),POINT (-87.665909 42.008362),106,1513347,1041
92,41660,Lake (Red Line),POINT (-87.627813 41.884809),3201,6650401,2247
93,40790,Monroe (Blue Line),POINT (-87.629378 41.880703),8391,2360365,1856
94,41090,Monroe (Red Line),POINT (-87.627696 41.880745),3204,3279369,2689
95,40650,North/Clybourn (Red Line),POINT (-87.64917699999999 41.910655),8422,1950402,2056
96,40400,Noyes (Purple Line),POINT (-87.68333699999999 42.058282),8093,282461,1575
97,40180,Oak Park (Blue Line),POINT (-87.791602 41.872108),8132,536954,1834
98,41350,Oak Park (Green Line),POINT (-87.793783 41.886988),8123.01,479205,1657
99,41310,Paulina (Brown Line),POINT (-87.670907 41.943623),8319,853137,2004
100,41030,Polk (Pink Line),POINT (-87.66952999999999 41.871551),8382,893334,976
101,40960,Pulaski (Orange Line),POINT (-87.724493 41.799756),6202,1545861,986
102,40150,Pulaski (Pink Line),POINT (-87.724311 41.853732),2924,340886,1002
103,40920,Pulaski (Blue Line),POINT (-87.725663 41.873797),2607,569154,938
104,40030,Pulaski (Green Line),POINT (-87.725404 41.885412),2601,451444,564
105,40040,"Quincy/Wells (Brown, Orange, Purple & Pink Lines)",POINT (-87.63374 41.878723),8391,2222453,1856
106,40470,Racine (Blue Line),POINT (-87.659458 41.87592),8329,655557,1589
107,41680,Oakton-Skokie (Yellow Line),POINT (-87.74722084 42.02624348),8077,295088,1143
108,40610,Ridgeland (Green Line),POINT (-87.783661 41.887159),8125,411170,1129
109,41010,Rockwell (Brown Line),POINT (-87.69410000000001 41.966115),407,561690,1562
111,41400,"Roosevelt (Red, Orange & Green Lines)",POINT (-87.62658999999999 41.867405),3301,3735822,1957
112,40820,Rosemont (Blue Line),POINT (-87.859388 41.983507),7707,2031418,1027
113,40800,Sedgwick (Brown & Purple Lines),POINT (-87.639302 41.910409),804,1214242,873
114,40080,Sheridan (Red Line),POINT (-87.654929 41.953775),8321,1726236,1358
115,40840,South Boulevard (Purple Line),POINT (-87.67832900000001 42.027612),8100,235045,1549
116,40360,Southport (Brown Line),POINT (-87.663619 41.943744),615,1137842,1774
117,40190,Sox-35th (Red Line),POINT (-87.630636 41.831191),3405,1544317,858
118,40260,"State/Lake (Brown, Green, Orange, Pink & Purple Lines)",POINT (-87.627835 41.88574),3201,3306494,2247
119,40880,Thorndale (Red Line),POINT (-87.659076 41.990259),301.01,992142,1006
120,40350,UIC-Halsted (Blue Line),POINT (-87.64970700000001 41.875474),8419,1702964,2003
121,40140,Dempster-Skokie  (Yellow Line),POINT (-87.751919 42.038951),8073,617395,1233
122,40730,"Washington/Wells (Brown, Orange, Purple & Pink Lines)",POINT (-87.63378 41.882695),8391,2218679,1856
123,41210,Wellington (Brown & Purple Lines),POINT (-87.653266 41.936033),630,929861,1559
124,40310,Western (Orange Line),POINT (-87.68401900000001 41.804546),6301,1159107,758
125,40740,Western (Pink Line),POINT (-87.685129 41.854225),8412,360961,891
126,40370,Washington (Blue Line),POINT (-87.62944 41.883164),8391,3922759,1856
127,41480,Western (Brown Line),POINT (-87.688502 41.966163),406,1285274,1434
128,40630,Clark/Division (Red Line),POINT (-87.631412 41.90392),802.02,2630294,1481
129,41080,47th (Green Line),POINT (-87.618826 41.809209),3814,373918,1087
130,41230,47th (Red Line),POINT (-87.63094 41.810318),8355,909500,554
131,40570,California (Blue Line),POINT (-87.69689 41.921939),2214,1727643,1507
132,41410,Chicago (Blue Line),POINT (-87.655214 41.896075),2435,1267774,2019
133,40710,Chicago (Brown & Purple Lines),POINT (-87.635924 41.89681),818,1980746,2192
134,41450,Chicago (Red Line),POINT (-87.628176 41.896671),815,4902095,2156
135,40910,63rd (Red Line),POINT (-87.63095199999999 41.780536),8346,979354,859
136,40670,Western (Blue Line - O'Hare Branch),POINT (-87.687364 41.916157),2222,1605620,2063
137,40220,Western (Blue Line - Forest Park Branch),POINT (-87.688436 41.875478),2827,513157,1410
138,41690,Cermak-McCormick Place (Green Line),POINT (-87.626402 41.853115),3301,476387,1957
139,40540,Wilson (Red & Purple Lines),POINT (-87.657588 41.964273),8307,1788035,861
140,41240,Addison (Blue Line),POINT (-87.71906 41.94738),1609,887340,1193
141,41700,"Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)",POINT (-87.626189 41.88322),3201,1016989,2247
142,40170,Ashland (Green & Pink Lines),POINT (-87.66696899999999 41.885269),2804,739787,1171
